MOVIES,YEAR,GENRE,RATING,Content,RunTime,VOTES
Sweet Tooth,2021,Action,7.9,Movie,69,37142
Army of the Dead,2021,Horror,5.8,Movie,148,132378
Fargo,2014,Thriller,8.9,Movie,53,341221
How I Met Your Mother,2005,Romance,8.3,Movie,22,624036
Community,2009,Comedy,8.5,Movie,22,231013
Sons of Anarchy,2008,Thriller,8.5,Movie,45,270445
StartUp,2016,Thriller,7.9,Movie,44,22971
The Vampire Diaries,2009,Horror,7.7,Movie,43,293434
365 dni,2020,Romance,3.3,Movie,114,63620
How to Sell Drugs Online (Fast),2019,Comedy,7.9,Movie,30,23960
Good Girls,2018,Comedy,7.8,Movie,43,38618
13 Reasons Why,2017,Thriller,7.6,Movie,60,266386
The Queen's Gambit,2020,Drama,8.6,Movie,395,336801
Legends of Tomorrow,2016,Action,6.8,Movie,42,95897
Star Trek: The Next Generation,1987,Action,8.6,Movie,44,106181
Le dernier mercenaire,2021,Comedy,5.4,Movie,110,2606
Resort to Love,2021,Romance,5.7,Movie,101,1591
Evil,2019,Horror,7.7,Movie,42,15048
The Expanse,2015,Sci-Fi,8.5,Movie,60,119644
New Amsterdam,2018,Drama,8.1,Movie,43,27709
Line of Duty,2012,Crime,8.7,Movie,60,46751
The 100,2014,Sci-Fi,7.6,Movie,43,226962
New Girl,2011,Comedy,7.7,Movie,22,200421
Prison Break,2005,Crime,8.3,Movie,44,492438
Sex Education,2019,Comedy,8.3,Movie,45,177274
A Classic Horror Story,2021,Horror,5.7,Movie,95,8822
Feels Like Ishq,2021,Romance,6.6,Movie,32,848
Young Royals,2021,Romance,8.6,Movie,50,16954
Shadow and Bone,2021,Action,7.7,Movie,69,60283
The Hitman's Bodyguard,2017,Comedy,6.9,Movie,118,205979
Mad Men,2007,Drama,8.6,Movie,47,216203
Élite,2018,Thriller,7.5,Movie,60,59730
Gilmore Girls,2000,Comedy,8.1,Movie,44,106650
Sky Rojo,2021,Action,6.5,Movie,31,6940
Lupin,2021,Crime,7.5,Movie,45,84428
Trollhunters: Rise of the Titans,2021,Animation,6.9,Movie,104,2353
Heartland,2007,Family,8.4,Movie,45,11764
Jurassic Park,1993,Sci-Fi,8.1,Movie,127,897444
Family Guy,1999,Animation,8.1,Movie,22,312584
Daredevil,2015,Crime,8.6,Movie,54,374963
Dark,2017,Crime,8.8,Movie,60,312629
Boku no hîrô akademia,2016,Animation,8.4,Movie,24,44367
Cobra Kai,2018,Comedy,8.6,Movie,30,122268
 Kingdom,2019,Historical,7.1,Movie,92,6388
Gotham,2014,Crime,7.8,Movie,42,216458
Billions,2016,Drama,8.4,Movie,60,74094
Agents of S.H.I.E.L.D.,2013,Action,7.5,Movie,45,205119
Don't Breathe,2016,Horror,7.1,Movie,88,237601
The Ice Road,2021,Action,5.6,Movie,109,20561
Arrow,2012,Action,7.5,Movie,42,414712
Orange Is the New Black,2013,Comedy,8,Movie,59,284554
Gossip Girl,2007,Romance,7.4,Movie,42,159666
Bridgerton,2020,Romance,7.3,Movie,60,83944
The Kominsky Method,2018,Comedy,8.2,Movie,30,33440
Homeland,2011,Crime,8.3,Movie,55,322307
Riverdale,2017,Crime,6.8,Movie,45,126112
Sherlock,2010,Crime,9.1,Movie,88,839029
La cocinera de Castamar,2021,Drama,7.4,Movie,69,1336
Queen of the South,2016,Crime,8,Movie,42,23318
CSI: Crime Scene Investigation,2000,Crime,7.6,Movie,60,78589
The Umbrella Academy,2019,Action,8,Movie,60,175513
Supergirl,2015,Action,6.2,Movie,43,115373
BoJack Horseman,2014,Animation,8.7,Movie,25,124318
The Lord of the Rings: The Fellowship of the Ring,2001,Action,8.8,Movie,178,1713028
I Think You Should Leave with Tim Robinson,2019,Comedy,7.8,Movie,16,8095
South Park,1997,Animation,8.7,Movie,22,340148
Once Upon a Time,2011,Fantasy,7.7,Movie,60,212616
Star Trek: Discovery,2017,Action,7.2,Movie,60,101079
Teen Wolf,2011,Fantasy,7.6,Movie,41,132950
How to Get Away with Murder,2014,Crime,8.1,Movie,43,136135
Star Trek: Deep Space Nine,1993,Action,8,Movie,45,55687
Seinfeld,1989,Comedy,8.8,Movie,22,264801
Spartacus: Blood and Sand,2010,Action,8.5,Movie,55,228484
Hawaii Five-0,2010,Crime,7.3,Movie,42,68627
Good Witch,2015,Comedy,7.3,Movie,48,8268
The Sinner,2017,Crime,7.9,Movie,45,96901
Arrested Development,2003,Comedy,8.7,Movie,22,284373
Escape Room,2019,Horror,6.4,Movie,99,99351
You,2018,Romance,7.7,Movie,45,157666
Mindhunter,2017,Thriller,8.6,Movie,60,235694
Jaws,1975,Thriller,8,Movie,124,558731
Avatar: The Last Airbender,2005,Animation,9.3,Movie,23,265845
The Punisher,2017,Crime,8.5,Movie,53,194777
Star Trek: Voyager,1995,Sci-Fi,7.8,Movie,44,61917
The Departed,2006,Thriller,8.5,Movie,151,1227522
Narcos,2015,Biography,8.8,Movie,49,375261
The Serpent,2021,Thriller,7.6,Movie,58,33936
Star Wars: The Clone Wars,2008,Animation,8.3,Movie,23,71904
"Murder, She Wrote",1984,Crime,7,Movie,50,20330
Fatherhood,2021,Comedy,6.7,Movie,109,26508
Blue Bloods,2010,Crime,7.6,Movie,43,34064
Heist,2021,Documentary,6.8,Movie,41,846
The Woman in the Window,2021,Crime,5.7,Movie,100,57048
Black Summer,2019,Horror,6.5,Movie,40,25453
Katla,2021,Sci-Fi,7.1,Movie,69,8391
Gone Girl,2014,Thriller,8.1,Movie,149,895888
Jumanji: Welcome to the Jungle,2017,Action,6.9,Movie,119,337900
American Psycho,2000,Comedy,7.6,Movie,101,517014
House of Cards,2013,Drama,8.7,Movie,51,476656
Miraculous: Tales of Ladybug & Cat Noir,2015,Animation,7.7,Movie,20,8300
Mayor Grom: Chumnoy Doktor,2021,Action,6.3,Movie,136,8466
Demon Slayer: Kimetsu No Yaiba,2019,Animation,8.7,Movie,25,46259
Jane the Virgin,2014,Comedy,7.8,Movie,60,41758
The Good Wife,2009,Crime,8.3,Movie,43,70021
The Good Place,2016,Comedy,8.2,Movie,22,127417
The Americans,2013,Crime,8.4,Movie,44,88962
Glee,2009,Comedy,6.7,Movie,44,139934
Bo Burnham: Inside,2021,Comedy,8.7,TV Special,87,31108
Kill Bill: Vol. 1,2003,Crime,8.1,Movie,111,1034554
Bartkowiak,2021,Action,5,Movie,91,398
Castlevania,2017,Animation,8.3,Movie,23,51802
300,2006,Action,7.6,Movie,117,751815
Dawson's Creek,1998,Romance,6.6,Movie,60,38117
It,2017,Horror,7.3,Movie,135,480607
Pretty Little Liars,2010,Romance,7.4,Movie,44,155875
Star Trek,1966,Sci-Fi,8.3,Movie,50,76213
Archer,2009,Animation,8.6,Movie,22,141784
Spider-Man: Far from Home,2019,Sci-Fi,7.5,Movie,129,363012
Twin Peaks,1990,Crime,8.8,Movie,47,182173
The Mitchells vs the Machines,2021,Animation,7.7,Movie,113,69482
The Bold Type,2017,Comedy,7.9,Movie,45,16183
"Love, Death & Robots",2019,Animation,8.5,Movie,15,120364
Hostage House,2021,Thriller,3.7,Movie,85,315
The Hobbit: An Unexpected Journey,2012,Fantasy,7.8,Movie,169,774632
Clueless,1995,Romance,6.8,Movie,97,194461
Ray Donovan,2013,Crime,8.3,Movie,60,79618
Transformers: War for Cybertron,2020,Animation,7.4,Movie,30,2923
Baywatch,2017,Comedy,5.5,Movie,116,170844
Trollhunters,2016,Animation,8.4,Movie,23,14759
Snowpiercer,2020,Sci-Fi,6.9,Movie,60,39433
Workin' Moms,2017,Comedy,7.7,Movie,30,12896
The Devil All the Time,2020,Thriller,7.1,Movie,138,108684
Broadchurch,2013,Crime,8.4,Movie,48,100611
Fast & Furious 7,2015,Action,7.1,Movie,137,371194
L.A.'s Finest,2019,Comedy,6,Movie,60,5667
Good on Paper,2021,Romance,5.6,Movie,92,8099
Iron Fist,2017,Action,6.5,Movie,55,118859
Too Hot to Handle,2020,Reality-TV,4.6,Movie,40,10008
Haseen Dillruba,2021,Crime,6.9,Movie,135,18149
Hannibal,2013,Horror,8.5,Movie,44,236161
Longmire,2012,Crime,8.3,Movie,60,30685
Sicario,2015,Crime,7.6,Movie,121,387903
The Fall,2013,Thriller,8.1,Movie,60,89590
The Irishman,2019,Biography,7.8,Movie,209,345455
Jujutsu Kaisen,2020,Animation,8.7,Movie,24,25386
The Lord of the Rings: The Return of the King,2003,Action,8.9,Movie,201,1691777
Baby Driver,2017,Crime,7.6,Movie,113,468655
Dynasty,2017,Drama,7.3,Movie,42,16666
Spider-Man,2002,Sci-Fi,7.3,Movie,121,709684
Jumanji: The Next Level,2019,Action,6.7,Movie,123,205638
I Care a Lot,2020,Comedy,6.3,Movie,118,109059
Love and Monsters,2020,Action,7,Movie,109,100693
Awake,2021,Action,4.8,Movie,96,16262
The Haunting of Hill House,2018,Horror,8.6,Movie,572,195117
Things Heard & Seen,2021,Horror,5.3,Movie,121,24250
NCIS: Los Angeles,2009,Crime,6.7,Movie,43,49943
Arrival,2016,Sci-Fi,7.9,Movie,116,623912
Taxi Driver,1976,Crime,8.2,Movie,114,752553
Grease,1978,Musical,7.2,Movie,110,250587
El inocente,2021,Crime,7.9,Movie,467,19980
The Movies That Made Us,2019,Documentary,7.8,Movie,45,3653
Ragnarok,2020,Fantasy,7.5,Movie,45,31200
The King,2019,Biography,7.2,Movie,140,97848
Ginny & Georgia,2021,Comedy,7.5,Movie,69,35247
Jupiter's Legacy,2021,Action,6.7,Movie,56,31953
Designated Survivor,2016,Mystery,7.5,Movie,60,81326
Sing 2,2021,Animation,7.1,Movie,69,789
White Collar,2009,Comedy,8.2,Movie,40,122230
The Dig,2021,Biography,7.1,Movie,112,60598
Knives Out 2,2022,Comedy,7.1,Movie,69,789
Dirty John,2018,Crime,7.2,Movie,44,18088
The Old Guard,2020,Action,6.7,Movie,125,141605
Venom,2018,Sci-Fi,6.7,Movie,112,390167
The Killing,2011,Crime,8.2,Movie,45,102312
Don't Look Up,2021,Comedy,7.1,Movie,145,789
Skins,2007,Drama,8.2,Movie,46,77286
6 Underground,2019,Thriller,6.1,Movie,128,150455
The Fate of the Furious,2017,Action,6.6,Movie,136,215795
Captain America: Civil War,2016,Sci-Fi,7.8,Movie,147,697750
Rurôni Kenshin: Sai shûshô - The Beginning,2021,Action,7.8,Movie,137,1976
Death Note: Desu nôto,2006,Animation,9,Movie,24,262556
Naruto,2002,Animation,8.3,Movie,24,79832
Black Sails,2014,Adventure,8.2,Movie,56,96550
Run,2020,Thriller,6.7,Movie,90,55389
Orphan Black,2013,Sci-Fi,8.3,Movie,44,104501
Grimm,2011,Crime,7.8,Movie,45,111716
Luther,2010,Crime,8.4,Movie,60,125749
Sexy Beasts,2021,Reality-TV,4.7,Movie,69,592
Red Notice,2021,Comedy,7.1,Movie,69,789
Sen to Chihiro no kamikakushi,2001,Animation,8.6,Movie,125,682809
Hotel Transylvania: Transformania,2021,Animation,7.1,Movie,69,789
Murdoch Mysteries,2008,Crime,8.1,Movie,48,11437
Wish Dragon,2021,Animation,7.2,Movie,98,15262
Resident Evil: Infinite Darkness,2021,Animation,5.8,Movie,26,7128
Reign,2013,Fantasy,7.5,Movie,42,45045
Elementary,2012,Crime,7.9,Movie,60,103707
The Girl in the Spider's Web,2018,Crime,6.1,Movie,115,43896
Kong: Skull Island,2017,Action,6.6,Movie,118,294292
The Missing,2014,Crime,8.2,Movie,60,23317
Hagane no renkinjutsushi,2009,Animation,9.1,Movie,24,134855
Altered Carbon,2018,Sci-Fi,8,Movie,60,149002
Enterprise,2001,Action,7.5,Movie,60,48148
Black Clover,2017,Animation,8.3,Movie,24,13218
Uncut Gems,2019,Thriller,7.4,Movie,135,239770
American Crime Story,2016,Biography,8.4,Movie,42,83137
Bloodline,2015,Thriller,7.9,Movie,60,46111
Revenge,2011,Thriller,7.8,Movie,44,114932
The Revenant,2015,Action,8,Movie,156,732244
Z Nation,2014,Comedy,6.7,Movie,44,34226
Polar,2019,Crime,6.3,Movie,118,80553
Kim's Convenience,2016,Comedy,8.2,Movie,22,12443
Grace and Frankie,2015,Comedy,8.3,Movie,30,41520
The Lord of the Rings: The Two Towers,2002,Action,8.7,Movie,179,1529752
Love Is Blind,2020,Reality-TV,6.1,Movie,48,5342
Legally Blonde,2001,Romance,6.3,Movie,96,195752
Jessica Jones,2015,Crime,7.9,Movie,56,198056
Rust Creek,2018,Thriller,5.9,Movie,108,9263
American Vandal,2017,Comedy,8.2,Movie,34,28093
Cheers,1982,Comedy,7.9,Movie,22,49886
Ocean's Eight,2018,Comedy,6.3,Movie,110,197909
America: The Motion Picture,2021,Animation,5.7,Movie,98,4485
That '70s Show,1998,Romance,8,Movie,22,157990
Below Deck Mediterranean,2016,Reality-TV,7.3,Movie,43,1327
Pirates of the Caribbean: Dead Men Tell No Tales,2017,Action,6.5,Movie,129,276173
Sense8,2015,Sci-Fi,8.3,Movie,60,144032
How to Become a Tyrant,2021,Documentary,7.4,Movie,69,3700
Dead to Me,2019,Comedy,8,Movie,30,61944
Narcos: México,2018,Crime,8.4,Movie,50,64838
2001: A Space Odyssey,1968,Sci-Fi,8.3,Movie,149,622998
Adventure Time,2010,Animation,8.6,Movie,11,81525
Nanatsu no taizai,2014,Animation,8,Movie,24,26282
My Unorthodox Life,2021,Reality-TV,5.1,Movie,69,742
Slasher,2016,Horror,6.7,Movie,60,12031
Anne,2017,Family,8.7,Movie,60,43433
The Tudors,2007,Historical,8.1,Movie,60,70514
Batman v Superman: Dawn of Justice,2016,Sci-Fi,6.4,Movie,152,657423
Pose,2018,Drama,8.6,Movie,60,23179
Cider no yô ni kotoba ga wakiagaru,2020,Animation,7,Movie,87,941
News of the World,2020,Action,6.8,Movie,118,69037
Mother!,2017,Horror,6.6,Movie,121,201141
Emily in Paris,2020,Romance,7,Movie,30,55757
National Lampoon's Animal House,1978,Comedy,7.5,Movie,109,115289
The Affair,2014,Drama,7.9,Movie,60,42129
Honest Thief,2020,Crime,6,Movie,99,40186
The End of the F***ing World,2017,Comedy,8.1,Movie,25,157802
Midnight in Paris,2011,Romance,7.7,Movie,94,399157
Lost in Space,2018,Family,7.3,Movie,60,76255
Wentworth,2013,Crime,8.6,Movie,45,18080
After Life,2019,Comedy,8.4,Movie,30,91972
The Fresh Prince of Bel-Air,1990,Comedy,7.9,Movie,22,125167
Kill Bill: Vol. 2,2004,Thriller,8,Movie,137,706053
Bates Motel,2013,Horror,8.1,Movie,45,100394
Moneyball,2011,Biography,7.6,Movie,133,386263
Behind Her Eyes,2021,Thriller,7.2,Movie,298,47174
Biohackers,2020,Sci-Fi,6.8,Movie,44,7563
Extraction,2020,Thriller,6.7,Movie,116,174406
The IT Crowd,2006,Comedy,8.5,Movie,25,138970
Californication,2007,Comedy,8.3,Movie,28,174076
Beastars,2019,Animation,7.8,Movie,23,7429
3rd Rock from the Sun,1996,Comedy,7.7,Movie,60,48780
Big Mouth,2017,Animation,7.9,Movie,30,61304
Snowpiercer,2013,Sci-Fi,7.1,Movie,126,335946
Locke & Key,2020,Horror,7.4,Movie,48,47717
300: Rise of an Empire,2014,Action,6.2,Movie,102,286734
Kimi no na wa.,2016,Animation,8.4,Movie,106,217433
Travelers,2016,Sci-Fi,8.1,Movie,45,49197
Black Lightning,2017,Sci-Fi,6.1,Movie,43,23354
Booksmart,2019,Comedy,7.2,Movie,102,103143
The Water Man,2020,Family,5.3,Movie,91,1978
Chesapeake Shores,2016,Family,7.5,Movie,42,5407
Oxygène,2021,Sci-Fi,6.5,Movie,100,27918
Jaws 2,1978,Horror,5.8,Movie,116,73931
Enola Holmes,2020,Action,6.6,Movie,123,145206
Rurôni Kenshin: Sai shûshô - The Final,2021,Action,7.2,Movie,138,4682
Chilling Adventures of Sabrina,2018,Horror,7.5,Movie,60,82557
Marcella,2016,Crime,7.4,Movie,45,26485
Tropic Thunder,2008,Comedy,7,Movie,107,391033
Freaks and Geeks,1999,Comedy,8.7,Movie,44,133607
iZombie,2015,Comedy,7.8,Movie,42,62258
Spirit Untamed,2021,Animation,5.4,Movie,88,1741
Poldark,2015,Historical,8.3,Movie,60,27588
Beauty and the Beast,2017,Musical,7.1,Movie,129,284484
Penny Dreadful,2014,Horror,8.2,Movie,60,115055
Unbelievable,2019,Crime,8.4,Movie,385,81658
Fate: The Winx Saga,2021,Action,6.9,Movie,69,30827
Feel Good,2020,Romance,7.5,Movie,30,7949
Bodyguard,2018,Thriller,8.1,Movie,60,103187
The Legend of Korra,2012,Animation,8.4,Movie,23,109581
Bird Box,2018,Horror,6.6,Movie,124,297927
She-Ra and the Princesses of Power,2018,Animation,7.9,Movie,30,11967
Scorpion,2014,Crime,7.1,Movie,43,48387
Derry Girls,2018,Comedy,8.4,Movie,30,24293
Hell or High Water,2016,Crime,7.6,Movie,102,211816
The Babysitter,2017,Horror,6.3,Movie,85,79593
Marriage Story,2019,Romance,7.9,Movie,137,266307
Ratched,2020,Crime,7.3,Movie,69,44914
Annihilation,2018,Horror,6.8,Movie,115,293459
Fractured,2019,Thriller,6.4,Movie,99,62113
El Camino: A Breaking Bad Movie,2019,Crime,7.3,Movie,122,200029
Godless,2017,Western,8.3,Movie,452,56997
Haikyuu!!,2014,Animation,8.7,Movie,24,15250
Wind River,2017,Crime,7.7,Movie,107,218337
Dirilis: Ertugrul,2014,Action,8,Movie,120,31182
Frozen,2013,Animation,7.4,Movie,102,586769
The Haunting of Bly Manor,2020,Horror,7.4,Movie,494,77872
Charlie's Angels,2019,Action,4.8,Movie,118,62393
Love,2016,Romance,7.7,Movie,50,39010
Spenser Confidential,2020,Comedy,6.2,Movie,111,77727
Centaurworld,2021,Animation,7.5,Movie,25,207
Lo imposible,2012,Historical,7.6,Movie,114,208903
Shadowhunters: The Mortal Instruments,2016,Fantasy,6.6,Movie,42,56183
The Ranch,2016,Comedy,7.5,Movie,30,35091
Shooter,2016,Action,7.5,Movie,60,33000
Zoo,2015,Sci-Fi,6.7,Movie,42,23095
The Trial of the Chicago 7,2020,Historical,7.8,Movie,129,153211
Comment je suis devenu super-héros,2020,Action,5.8,Movie,97,3214
Stowaway,2021,Sci-Fi,5.6,Movie,116,36937
The Nice Guys,2016,Comedy,7.4,Movie,116,295435
The Snowman,2017,Thriller,5.1,Movie,119,60354
Moonrise Kingdom,2012,Romance,7.8,Movie,94,328550
Contagion,2011,Thriller,6.7,Movie,106,290444
Nashville,2012,Musical,7.7,Movie,43,23735
This Is England,2006,Crime,7.7,Movie,101,117889
El hoyo,2019,Horror,7,Movie,94,183495
Scream,2015,Comedy,7.1,Movie,45,35660
Halston,2021,Biography,7.5,Movie,240,10460
Castle Rock,2018,Horror,7.6,Movie,60,40731
Misfits,2009,Comedy,8.2,Movie,60,95735
Medici,2016,Biography,7.9,Movie,60,16659
I'm Thinking of Ending Things,2020,Thriller,6.6,Movie,134,71640
Willy Wonka & the Chocolate Factory,1971,Musical,7.8,Movie,100,186202
Fantasy Island,2020,Action,4.9,Movie,109,41744
Doc Martin,2004,Romance,8.3,Movie,46,13580
Homefront,2013,Thriller,6.5,Movie,100,113476
The Power of the Dog,2021,Western,7.1,Movie,125,789
Dead Poets Society,1989,Comedy,8.1,Movie,128,443357
Contratiempo,2016,Crime,8.1,Movie,106,157061
There's Something About Mary,1998,Romance,7.1,Movie,119,298729
Trailer Park Boys,2001,Comedy,8.5,Movie,30,38861
Binsenjo,2021,Romance,8.5,Movie,80,7888
Full House,1987,Family,6.7,Movie,22,54419
The OA,2016,Fantasy,7.8,Movie,60,94862
Lucy,2014,Sci-Fi,6.4,Movie,89,462122
Will & Grace,1998,Romance,7.2,Movie,22,52269
Luke Cage,2016,Crime,7.3,Movie,55,120187
GLOW,2017,Sports,8,Movie,35,42221
Wet Hot American Summer: Ten Years Later,2017,Comedy,6.9,Movie,216,7784
The Mummy,2017,Action,5.4,Movie,110,177592
When They See Us,2019,Biography,8.9,Movie,296,102201
22-Jul,2018,Crime,6.8,Movie,143,30905
When Calls the Heart,2014,Romance,8.1,Movie,43,11306
A Series of Unfortunate Events,2017,Adventure,7.8,Movie,50,55753
Birdman or (The Unexpected Virtue of Ignorance),2014,Comedy,7.7,Movie,119,595946
RuPaul's Drag Race All Stars,2012,Reality-TV,8.5,Movie,60,6644
Sophie: A Murder in West Cork,2021,Documentary,6.9,Movie,164,3235
Knock Knock,2015,Thriller,4.9,Movie,99,87474
Madam Secretary,2014,Drama,7.6,Movie,45,20755
Hauru no ugoku shiro,2004,Animation,8.2,Movie,119,351466
The Alienist,2018,Crime,7.7,Movie,60,48646
Now You See Me,2013,Thriller,7.2,Movie,115,614056
Hell's Kitchen,2005,Reality-TV,7.1,Movie,42,19419
The Ballad of Buster Scruggs,2018,Musical,7.3,Movie,133,130664
The Lost World: Jurassic Park,1997,Sci-Fi,6.6,Movie,129,390425
The Politician,2019,Comedy,7.5,Movie,42,19735
Marco Polo,2014,Historical,8,Movie,60,67083
Tattoo Redo,2021,Reality-TV,5.6,Movie,69,232
Shameless,2004,Comedy,8,Movie,90,15630
Top Gear,2002,Reality-TV,8.6,Movie,60,111345
Vanquish,2021,Thriller,2.7,Movie,94,3010
Sweet Magnolias,2020,Romance,7.4,Movie,69,10096
Geostorm,2017,Sci-Fi,5.3,Movie,109,99724
The Bureau of Magical Things,2018,Family,6.8,Movie,25,1349
Rojst,2018,Thriller,7,Movie,50,3471
Sausage Party,2016,Animation,6.1,Movie,89,181775
A Futile and Stupid Gesture,2018,Biography,6.8,Movie,101,14676
Eurovision Song Contest: The Story of Fire Saga,2020,Musical,6.5,Movie,123,84242
Russian Doll,2019,Adventure,7.9,Movie,30,72588
Sa-rang-eui bul-sa-chak,2019,Romance,8.7,Movie,70,16879
The Next Three Days,2010,Crime,7.3,Movie,133,189815
Maniac,2018,Sci-Fi,7.8,Movie,386,69384
Moonlight,2016,Drama,7.4,Movie,111,285273
In the Heart of the Sea,2015,Action,6.9,Movie,122,128605
The Babysitter: Killer Queen,2020,Horror,5.8,Movie,101,31220
Final Space,2018,Animation,8.3,Movie,30,36443
Into the Badlands,2015,Action,8,Movie,42,43147
Firefly Lane,2021,Romance,7.4,Movie,69,16674
Manhunt,2017,Biography,8.1,Movie,60,54164
Kingdom,2014,Drama,8.5,Movie,43,16565
Wet Hot American Summer: First Day of Camp,2015,Comedy,7.4,Movie,30,22906
Rebecca,2020,Romance,6,Movie,123,35836
Master of None,2015,Comedy,8.3,Movie,30,70472
The Stranger,2020,Crime,7.3,Movie,363,38697
Contact,1997,Sci-Fi,7.5,Movie,150,261289
The Kissing Booth,2018,Romance,6,Movie,105,72207
Top Boy,2011,Thriller,8.4,Movie,60,14832
Climax,2018,Horror,7,Movie,97,58051
Vivo,2021,Animation,7.3,Movie,95,27
Gods of Egypt,2016,Action,5.4,Movie,127,109959
Mank,2020,Biography,6.9,Movie,131,63893
Bleach: Burîchi,2004,Animation,8.1,Movie,24,46537
¿Quién Mató a Sara?,2021,Crime,6.4,Movie,69,10387
X-Ray: Selected Satyajit Shorts,2021,Thriller,7.2,Movie,65,7023
The Dirt,2019,Biography,7,Movie,107,43022
The Real Housewives of Beverly Hills,2010,Reality-TV,5.1,Movie,44,5326
Gerald's Game,2017,Horror,6.5,Movie,103,95660
Outlaw King,2018,Action,6.9,Movie,121,64076
Another Life,2019,Mystery,5,Movie,43,25983
Crazy Ex-Girlfriend,2015,Musical,7.8,Movie,42,17902
Yakusoku no Neverland,2019,Animation,8.5,Movie,23,28438
He's All That,2021,Romance,7.1,Movie,69,789
High School DxD,2012,Animation,7.6,Movie,23,8085
Fuller House,2016,Family,6.7,Movie,30,25578
Thunder Force,2021,Action,4.4,Movie,106,35640
The Midnight Sky,2020,Sci-Fi,5.6,Movie,118,75985
Breach,2020,Horror,3.1,Movie,92,10958
Rosemary's Baby,1968,Horror,8,Movie,137,201472
Below Deck,2013,Reality-TV,7.3,Movie,43,2222
Kung Fu Panda 3,2016,Animation,7.1,Movie,95,141657
Bright,2017,Fantasy,6.3,Movie,117,175334
H2O: Just Add Water,2006,Fantasy,7.2,Movie,23,13458
Colony,2016,Action,7.4,Movie,42,32620
Deep,2021,Sci-Fi,4.9,Movie,101,738
From Dusk Till Dawn: The Series,2014,Fantasy,6.9,Movie,45,19559
Ender's Game,2013,Action,6.6,Movie,114,228812
Kôdo giasu - Hangyaku no rurûshu: Code Geass - Lelouch of the Rebellion,2006,Animation,8.7,Movie,24,55979
Alice in Borderland,2020,Fantasy,7.7,Movie,50,22347
Planet of the Apes,1968,Sci-Fi,8,Movie,112,170681
Shot Caller,2017,Thriller,7.3,Movie,121,77040
Ash vs Evil Dead,2015,Horror,8.4,Movie,30,67180
Pieces of a Woman,2020,Drama,7.1,Movie,126,41856
Yes Day,2021,Family,5.7,Movie,86,19062
The Ritual,2017,Horror,6.3,Movie,94,84230
Force of Nature,2020,Crime,4.5,Movie,91,9016
Downsizing,2017,Sci-Fi,5.7,Movie,135,102222
Fruits Basket,2019,Animation,8.6,Movie,24,3549
Murder Mystery,2019,Comedy,6,Movie,97,110725
